"","A","B","C","D","E","F","G"
"99",0,0,0,0,1,0,0
"100",1,1,1,1,1,0,0
"101",1,0,0,1,1,0,0
"102",0,0,0,0,1,0,0
"103",0,0,0,0,1,0,0
"104",0,0,0,0,1,0,0
"105",0,0,0,0,1,0,0
"106",0,0,0,0,1,0,0
"107",0,0,0,0,1,0,0
"108",0,1,0,1,1,0,0
"109",0,0,0,1,1,0,0
"110",0,0,0,0,1,0,0
"111",1,0,0,1,1,0,0
"112",0,0,0,0,1,0,0
"113",0,0,0,0,1,0,0
"114",0,0,0,0,1,0,0
"115",0,0,0,0,1,0,0
"116",0,0,0,0,1,0,0
"117",0,0,0,0,1,0,0
"118",0,0,0,0,1,0,0
"119",0,0,0,0,1,0,0
"120",0,0,0,1,1,0,0
"121",1,0,0,1,1,0,0
"122",1,0,0,1,1,0,0
"123",0,0,1,0,0,0,0
"124",1,1,1,0,0,0,0
"125",0,0,1,0,0,0,0
"126",0,0,1,0,0,0,0
"127",1,1,1,0,0,0,0
"128",1,1,1,0,0,0,0
"129",0,0,1,0,0,0,0
"130",0,0,1,0,0,0,0
"131",0,0,1,0,0,0,0
"132",1,1,1,0,0,0,0
"133",0,0,1,0,0,0,0
"134",0,0,1,0,0,0,0
"135",1,1,1,0,0,0,0
"136",1,1,1,0,0,0,0
"137",0,0,1,0,0,0,0
"138",1,1,1,0,0,0,0
"139",0,0,1,0,0,0,0
"140",0,0,1,0,0,0,0
"141",1,1,1,0,0,0,0
"142",0,1,1,0,0,0,0
"143",0,0,1,0,0,0,0
"144",0,0,1,1,0,0,0
"145",0,0,1,0,0,0,0
"146",0,0,1,0,0,0,0
"147",0,0,1,0,0,0,0
"148",1,1,1,0,0,0,0
"149",0,1,1,0,0,0,0
"150",0,0,1,0,0,0,0
"151",1,1,1,0,0,0,0
"152",1,1,1,0,0,0,0
"153",0,0,1,0,0,0,0
"154",0,0,1,0,0,0,0
"155",0,0,1,0,0,0,0
"156",0,0,1,0,0,0,0
"157",1,1,1,0,0,0,0
"158",0,0,1,0,0,0,0
"159",0,0,1,0,0,0,0
"160",0,0,1,0,0,0,0
"161",0,1,1,0,0,0,0
"162",0,0,1,0,0,0,0
"163",0,0,1,0,0,0,0
"164",1,1,1,0,0,0,0
"165",0,0,1,0,0,0,0
"166",1,1,1,0,0,0,0
"167",0,0,1,0,0,0,0
"168",0,0,1,0,0,0,0
"169",0,0,1,0,0,0,0
"170",0,0,1,0,0,0,0
"171",0,0,1,0,0,0,0
"172",1,1,1,0,0,0,0
"173",1,1,1,0,0,0,0
"174",1,1,1,0,0,0,0
"175",1,1,1,0,0,0,0
"176",1,1,1,0,0,0,0
"177",1,1,1,0,0,0,0
"178",1,1,1,0,0,0,0
"179",1,1,1,0,0,0,0
"180",0,0,0,0,0,0,1
"181",0,0,0,0,0,0,1
"182",0,0,0,0,0,1,1
"183",0,0,0,0,0,1,1
"184",0,0,0,0,0,0,1
"185",0,0,0,0,0,1,1
"186",0,0,0,0,0,1,1
"187",0,0,0,0,0,0,1
"188",0,0,0,0,0,0,1
"189",0,0,0,0,0,1,1
"190",0,0,0,0,0,0,1
"191",0,0,0,0,0,1,1
"192",0,0,0,0,0,0,1
"193",0,0,0,0,0,1,1
"194",0,0,0,0,0,0,1
"195",0,0,0,0,0,1,1
"196",0,0,0,0,0,1,1
"197",0,0,0,0,0,1,1
"198",0,0,0,0,0,1,1
"199",0,0,0,0,0,1,1
"200",0,0,0,0,0,0,1
"201",0,0,0,0,0,1,1
"202",0,0,0,0,0,1,1
"203",0,0,0,0,0,1,1
"204",0,0,0,0,0,1,1
"205",0,0,0,0,0,1,1
"206",0,0,0,0,0,1,1
"207",0,0,0,0,0,1,1
"208",0,0,0,0,0,1,1
"209",0,0,0,0,0,1,1
"210",0,0,0,0,0,1,1
"211",0,0,0,0,0,1,1
"212",0,0,0,0,0,1,1
"213",0,0,0,0,0,1,1
"214",0,0,0,0,0,0,1
"215",0,0,0,0,0,1,1
"216",0,0,0,0,0,0,1
"217",0,0,0,0,0,1,1
"218",0,0,0,0,0,1,1
"219",0,0,0,0,0,1,1
"220",0,0,0,0,0,1,1
"221",0,0,0,0,0,0,1
"222",0,0,0,0,0,1,1
"223",0,0,0,0,0,0,1
"224",0,0,0,0,0,1,1
"225",0,0,0,0,0,1,1
"226",0,0,0,0,0,1,1
"227",0,0,0,0,0,0,1
"228",0,0,0,0,0,1,1
"229",0,0,0,0,0,1,1
"230",0,0,0,0,0,1,1
"231",0,0,0,0,0,1,1
"232",0,0,0,0,0,0,1
"233",0,0,0,0,0,1,1
"234",0,0,0,0,0,0,1
"235",0,0,0,0,0,1,1
"236",0,0,0,0,0,1,1
"237",0,0,0,0,0,0,1
"238",0,0,0,0,0,1,1
"239",0,0,0,0,0,1,1
"240",0,0,0,0,0,0,1
"241",0,0,0,0,0,1,1
"242",0,0,0,0,0,1,1
"243",0,0,0,0,0,0,1
"244",0,0,0,0,0,1,1
"245",0,0,0,0,0,1,1
"246",0,0,0,0,0,1,1
"247",0,0,0,0,0,1,1
"248",0,0,0,0,0,1,1
"249",0,0,0,0,0,1,1
"250",0,0,0,0,0,1,1
"251",0,0,0,0,0,1,1
"252",0,0,0,0,0,1,1
"253",0,0,0,0,0,1,1
"254",0,0,0,0,0,1,1
"255",0,0,0,0,0,0,1
"256",0,0,0,0,0,1,1
"257",0,0,0,0,0,0,1
"258",0,0,0,0,0,1,1
"259",0,0,0,0,0,1,1
"260",0,0,0,0,0,1,1
"261",0,0,0,0,0,1,1
"262",0,0,0,0,0,1,1
"263",0,0,0,0,0,1,1
"264",0,0,0,0,0,0,1
"265",0,0,0,0,0,0,1
"266",0,0,0,0,0,1,1
"267",0,0,0,0,0,1,1
"268",0,0,0,0,0,0,1
"269",0,0,0,0,0,1,1
"270",0,0,0,0,0,1,1
"271",0,0,0,0,0,1,1
"272",0,0,0,0,0,1,1
"273",0,0,0,0,0,1,1
"274",0,0,0,0,0,1,1
"275",0,0,0,0,0,1,1
"276",0,0,0,0,0,0,1
"277",0,0,0,0,0,1,1
"278",0,0,0,0,0,1,1
"279",0,0,0,0,0,1,1
"280",0,0,0,0,0,1,1
"281",0,0,0,0,0,0,1
"282",0,0,0,0,0,1,1
"283",0,0,0,0,0,0,1
"284",0,0,0,0,0,0,1
"285",0,0,0,0,0,1,1
"286",0,0,0,0,0,0,1
"287",0,0,0,0,0,1,1
"288",0,0,0,0,0,1,1
"289",0,0,0,0,0,1,1
"290",0,0,0,0,0,1,1
"291",0,0,0,0,0,1,1
"292",0,0,0,0,0,0,1
"293",0,0,0,0,0,1,1
"294",0,0,0,0,0,0,1
"295",0,0,0,0,0,0,1
"296",0,0,0,0,0,1,1
"297",0,0,0,0,0,0,1
"298",0,0,0,0,0,0,1
"299",0,0,0,0,0,1,1
"300",0,0,0,0,0,1,1
"301",0,0,0,0,0,1,1
"302",0,0,0,0,0,1,1
"303",0,0,0,0,0,1,1
"304",0,0,0,0,0,1,1
"305",0,0,0,0,0,1,1
"306",0,0,0,0,0,1,1
"307",0,0,0,0,0,1,1
"308",0,0,0,0,0,1,1
"309",0,0,0,0,0,1,1
"310",0,0,0,0,0,1,1
"311",0,0,0,0,0,0,1
"312",0,0,0,0,0,1,1
"313",0,0,0,0,0,1,1
"314",0,0,0,0,0,1,1
"315",0,0,0,0,0,0,1
"316",0,0,0,0,0,0,1
"317",0,0,0,0,0,1,1
"318",0,0,0,0,0,1,1
"319",0,0,0,0,0,1,1
"320",0,0,0,0,0,1,1
"321",0,0,0,0,0,0,1
"322",0,0,0,0,0,1,1
"323",0,0,0,0,0,1,1
"324",0,0,0,0,0,1,1
"325",0,0,0,0,0,1,1
"326",0,0,0,0,0,0,1
"327",0,0,0,0,0,0,1
"328",0,0,0,0,0,1,1
"329",0,0,0,0,0,1,1
"330",0,0,0,0,0,0,1
"331",0,0,0,0,0,0,1
"332",0,0,0,0,0,1,1
"333",0,0,0,0,0,0,1
"334",0,0,0,0,0,1,1
"335",0,0,0,0,0,1,1
"336",0,0,0,0,0,1,1
"337",0,0,0,0,0,1,1
"338",0,0,0,0,0,1,1
"339",0,0,0,0,0,1,1
"340",0,0,0,0,0,1,1
"341",0,0,0,0,0,1,1
"342",0,0,0,0,0,0,1
"343",0,0,0,0,0,1,1
"344",0,0,0,0,0,1,1
"345",0,0,0,0,0,1,1
"346",0,0,0,0,0,1,1
"347",0,0,0,0,0,1,1
"348",0,0,0,0,0,1,1
"349",1,0,0,0,0,1,1
"350",1,0,0,0,0,0,0
"351",1,0,0,0,0,0,0
"352",1,0,0,0,0,0,0
"353",1,0,0,0,0,0,0
"354",1,0,0,0,0,0,0
"355",1,0,0,0,0,0,0
"356",1,0,0,0,0,0,0
"357",1,0,0,0,0,0,0
"358",1,0,0,0,0,0,0
"359",1,0,0,0,0,0,0
"360",1,0,0,0,0,0,0
"361",1,0,0,0,0,0,0
"362",1,0,0,0,0,0,0
"363",1,0,0,0,0,0,0
"364",1,0,0,0,0,0,0
"365",1,0,0,0,0,0,0
"366",1,0,0,0,0,0,0
"367",1,0,0,0,0,0,0
"368",1,0,0,0,0,0,0
"369",1,1,0,0,0,0,0
"370",1,1,0,0,0,0,0
"371",1,0,0,0,0,0,0
"372",1,0,0,0,0,0,0
"373",1,0,0,0,0,0,0
"374",1,0,0,0,0,0,0
"375",1,0,0,0,0,0,0
"376",1,0,0,0,0,0,0
"377",1,0,0,0,0,0,0
"378",1,0,0,0,0,0,0
"379",1,0,0,0,0,0,0
"380",1,0,0,0,0,0,0
"381",1,0,0,0,0,0,0
"382",1,0,0,0,0,0,0
"383",1,0,0,1,0,0,0
"384",1,0,0,0,0,0,0
"385",1,0,0,0,0,0,0
"386",1,0,0,0,0,0,0
"387",1,0,0,0,0,0,0
"388",1,0,0,0,0,0,0
"389",1,0,0,0,0,0,0
"390",1,0,0,0,0,0,0
"391",1,0,0,0,0,0,0
"392",1,0,0,0,0,0,0
"393",1,0,0,0,0,0,0
"394",1,0,0,1,0,0,0
"395",1,0,0,0,0,0,0
"396",1,0,0,0,0,0,0
"397",0,0,0,0,0,1,0
"398",0,0,0,0,0,1,0
"399",0,0,0,0,0,1,0
"400",0,0,0,0,0,1,0
"401",0,0,0,0,0,1,0
"402",0,0,0,0,0,1,0
"403",0,0,0,0,0,1,0
"404",0,0,0,0,0,1,0
"405",0,0,0,0,0,1,0
"406",0,0,0,0,0,1,0
"407",0,0,0,0,0,1,0
"408",0,0,0,0,0,1,0
"409",0,0,0,0,0,1,0
"410",0,0,0,0,0,1,0
"411",0,0,0,0,0,1,0
"412",0,0,0,0,0,1,0
"413",0,0,0,0,0,1,0
"414",0,0,0,0,0,1,0
"415",0,0,0,0,0,1,0
"416",0,0,0,0,0,1,0
"417",0,0,0,0,0,1,0
"418",0,0,0,0,0,1,0
"419",0,0,0,0,0,1,0
"420",0,0,0,0,0,1,0
"421",0,0,0,0,0,1,0
"422",0,0,0,0,0,1,0
"423",0,0,0,0,0,1,0
"424",0,0,0,0,0,1,0
"425",0,0,0,0,0,1,0
"426",0,0,0,0,0,1,0
"427",0,0,0,0,0,1,0
"428",0,0,0,0,0,1,0
"429",0,0,0,0,0,1,0
"430",0,0,0,0,0,1,0
"431",0,0,0,0,0,1,0
"432",0,0,0,0,0,1,0
"433",0,0,0,0,0,1,0
"434",0,0,0,0,0,1,0
"435",0,0,0,0,0,1,0
"436",0,0,0,0,0,1,0
"437",0,0,0,0,0,1,0
"438",0,0,0,0,0,1,0
"439",0,0,0,0,0,1,0
"440",0,0,0,0,0,1,0
"441",0,0,0,0,0,1,0
"442",0,0,0,0,0,1,0
"443",0,0,0,0,0,1,0
"444",0,0,0,0,0,1,0
"445",0,0,0,0,0,1,0
"446",0,0,0,0,0,1,0
"447",0,0,0,0,0,1,0
"448",0,0,0,0,0,1,0
"449",0,0,0,0,0,1,0
"450",0,0,0,0,0,1,0
"451",0,0,0,0,0,1,0
"452",0,0,0,0,0,1,0
"453",0,0,0,0,0,1,0
"454",0,0,0,0,0,1,0
"455",0,0,0,0,0,1,0
"456",0,0,0,0,0,1,0
"457",0,0,0,0,0,1,0
"458",0,0,0,0,0,1,0
"459",0,0,0,0,0,1,0
"460",0,0,0,0,0,1,0
"461",0,0,0,0,0,1,0
"462",0,0,0,0,0,1,0
"463",0,0,0,0,0,1,0
"464",0,0,0,0,0,1,0
"465",0,0,0,0,0,1,0
"466",0,0,0,0,0,1,0
"467",0,0,0,0,0,1,0
"468",0,0,0,0,0,1,0
"469",0,0,0,0,0,1,0
"470",0,0,0,0,0,1,0
"471",0,0,0,0,0,1,0
"472",0,0,0,0,0,1,0
"473",0,0,0,0,0,1,0
"474",0,0,0,0,0,1,0
"475",0,0,0,0,0,1,0
"476",0,0,0,0,0,1,0
"477",0,0,0,0,0,1,0
"478",0,0,0,1,0,0,0
"479",0,0,0,1,0,0,0
"480",0,0,0,1,0,0,0
"481",0,0,0,1,0,0,0
"482",0,0,0,1,0,0,0
"483",0,0,0,1,0,0,0
"484",0,0,0,1,0,0,0
"485",0,1,0,1,0,0,0
"486",0,0,0,1,0,0,0
"487",0,0,0,1,0,0,0
"488",0,0,0,1,0,0,0
"489",0,0,0,1,0,0,0
"490",0,0,0,1,0,0,0
"491",0,1,0,1,0,0,0
"492",0,0,0,1,0,0,0
"493",0,0,0,1,0,0,0
"494",0,0,0,1,0,0,0
"495",0,0,0,1,0,0,0
"496",0,0,0,1,0,0,0
"497",0,0,0,1,0,0,0
"498",0,0,0,1,0,0,0
"499",0,0,0,1,0,0,0
"500",0,0,0,1,0,0,0
"501",0,0,0,1,0,0,0
"502",0,0,0,1,0,0,0
"503",0,0,0,1,0,0,0
"504",0,0,0,1,0,0,0
"505",0,0,0,1,0,0,0
"506",0,0,0,1,0,0,0
"507",0,0,0,1,0,0,0
"508",0,0,0,1,0,0,0
"509",0,0,0,1,0,0,0
"510",0,0,0,1,0,0,0
"511",0,0,0,1,0,0,0
"512",0,0,0,1,0,0,0
"513",0,0,0,1,0,0,0
"514",0,0,0,1,0,0,0
"515",0,0,0,1,0,0,0
"516",0,0,0,1,0,0,0
"517",0,0,0,1,0,0,0
"518",0,0,0,1,0,0,0
"519",0,0,0,1,0,0,0
"520",0,0,0,1,0,0,0
"521",0,0,0,1,0,0,0
"522",0,0,0,1,0,0,0
"523",0,0,0,1,0,0,0
"524",0,0,0,1,0,0,0
"525",0,0,0,1,0,0,0
"526",0,0,0,1,0,0,0
"527",0,0,0,1,0,0,0
"528",0,0,0,1,0,0,0
"529",0,0,0,1,0,0,0
"530",0,0,0,1,0,0,0
"531",0,0,0,1,0,0,0
"532",0,0,0,1,0,0,0
"533",0,0,0,1,0,0,0
"534",0,0,0,1,0,0,0
"535",0,0,0,1,0,0,0
"536",0,0,0,1,0,0,0
"537",0,0,0,1,0,0,0
"538",0,0,0,1,0,0,0
"539",0,0,0,1,0,0,0
"540",0,0,0,1,0,0,0
"541",0,0,0,1,0,0,0
"542",0,0,0,1,0,0,0
"543",0,0,0,1,0,0,0
"544",0,0,0,1,0,0,0
"545",0,0,0,1,0,0,0
"546",0,0,0,1,0,0,0
"547",0,0,0,1,0,0,0
"548",0,0,0,1,0,0,0
"549",0,0,0,1,0,0,0
"550",0,0,0,1,0,0,0
"551",0,0,0,1,0,0,0
"552",0,0,0,1,0,0,0
"553",0,0,0,1,0,0,0
"554",0,0,0,1,0,0,0
"555",0,0,0,1,0,0,0
"556",0,0,0,1,0,0,0
"557",0,0,0,1,0,0,0
"558",0,0,0,1,0,0,0
"559",0,0,0,1,0,0,0
"560",0,0,0,1,0,0,0
"561",0,0,0,1,0,0,0
"562",0,0,0,1,0,0,0
"563",0,0,0,1,0,0,0
"564",0,0,0,1,0,0,0
"565",0,0,0,1,0,0,0
"566",0,0,0,1,0,0,0
"567",0,0,0,1,0,0,0
"568",0,0,0,1,0,0,0
"569",0,0,0,1,0,0,0
"570",0,0,0,1,0,0,0
"571",0,0,0,1,0,0,0
"572",0,0,0,1,0,0,0
"573",0,0,0,1,0,0,0
"574",0,0,0,1,0,0,0
"575",0,0,0,1,0,0,0
"576",0,0,0,1,0,0,0
"577",0,0,0,1,0,0,0
"578",0,0,0,1,0,0,0
"579",0,0,0,1,0,0,0
"580",0,0,0,1,0,0,0
"581",0,0,0,1,0,0,0
"582",0,0,0,1,0,0,0
"583",0,0,0,1,0,0,0
"584",0,0,0,1,0,0,0
"585",0,0,0,1,0,0,0
"586",0,0,0,1,0,0,0
"587",0,1,0,1,0,0,0
"588",0,0,0,1,0,0,0
"589",0,0,0,1,0,0,0
"590",0,0,0,1,0,0,0
"591",0,0,0,1,0,0,0
"592",0,0,0,1,0,0,0
"593",0,0,0,1,0,0,0
"594",0,0,0,1,0,0,0
"595",0,0,0,1,0,0,0
"596",0,0,0,1,0,0,0
"597",0,0,0,1,0,0,0
"598",0,0,0,1,0,0,0
"599",0,0,0,1,0,0,0
"600",0,0,0,1,0,0,0
"601",0,0,0,1,0,0,0
"602",0,0,0,1,0,0,0
"603",0,0,0,1,0,0,0
"604",0,0,0,1,0,0,0
"605",0,0,0,1,0,0,0
"606",0,0,0,1,0,0,0
"607",0,0,0,1,0,0,0
"608",0,0,0,1,0,0,0
"609",0,0,0,1,0,0,0
"610",0,0,0,1,0,0,0
"611",0,0,0,1,0,0,0
"612",0,0,0,1,0,0,0
"613",0,0,0,1,0,0,0
"614",0,0,0,1,0,0,0
"615",0,0,0,1,0,0,0
"616",0,0,0,1,0,0,0
"617",0,0,0,1,0,0,0
"618",0,0,0,1,0,0,0
"619",0,0,0,1,0,0,0
"620",0,0,0,1,0,0,0
"621",0,0,0,1,0,0,0
"622",0,0,0,1,0,0,0
"623",0,0,0,1,0,0,0
"624",0,1,0,1,0,0,0
"625",0,0,0,1,0,0,0
"626",0,0,0,1,0,0,0
"627",0,0,0,1,0,0,0
"628",0,0,0,1,0,0,0
"629",0,1,0,0,0,0,0
"630",0,1,0,0,0,0,0
"631",0,1,0,0,0,0,0
"632",0,1,0,0,0,0,0
"633",0,1,0,0,0,0,0
"634",0,1,0,0,0,0,0
"635",0,1,0,0,0,0,0
"636",0,1,0,0,0,0,0
"637",0,1,0,0,0,0,0
"638",0,1,0,0,0,0,0
"639",0,1,0,0,0,0,0
"640",0,1,0,0,0,0,0
"641",0,1,0,0,0,0,0
"642",0,1,0,0,0,0,0
"643",0,1,0,0,0,0,0
"644",0,1,0,0,0,0,0
"645",0,1,0,0,0,0,0
"646",0,1,0,0,0,0,0
"647",0,1,0,0,0,0,0
"648",0,1,0,0,0,0,0
"649",0,1,0,0,0,0,0
"650",0,1,0,0,0,0,0
"651",0,1,0,0,0,0,0
"652",0,1,0,0,0,0,0
"653",0,1,0,0,0,0,0
"654",0,1,0,0,0,0,0
"655",0,1,0,0,0,0,0
"656",0,1,0,0,0,0,0
"657",0,1,0,0,0,0,0
"658",0,1,0,0,0,0,0
"659",0,1,0,0,0,0,0
"660",0,1,0,0,0,0,0
"661",0,1,0,0,0,0,0
"662",0,1,0,0,0,0,0
"663",0,1,0,0,0,0,0
"664",0,1,0,0,0,0,0
"665",0,1,0,0,0,0,0
"666",0,1,0,0,0,0,0
"667",0,1,0,0,0,0,0
"668",0,1,0,0,0,0,0
"669",0,1,0,0,0,0,0
"670",0,1,0,0,0,0,0
"671",0,1,0,0,0,0,0
"672",0,1,0,0,0,0,0
"673",0,1,0,0,0,0,0
"674",0,1,0,0,0,0,0
"675",0,1,0,0,0,0,0
"676",0,1,0,0,0,0,0
"677",0,1,0,0,0,0,0
"678",0,1,0,0,0,0,0
"679",0,1,0,0,0,0,0
"680",0,1,0,0,0,0,0
"681",0,1,0,0,0,0,0
"682",0,1,0,0,0,0,0
"683",0,1,0,0,0,0,0
"684",0,1,0,0,0,0,0
"685",0,1,0,0,0,0,0
"686",0,1,0,0,0,0,0
"687",0,1,0,0,0,0,0
"688",0,1,0,0,0,0,0
"689",0,1,0,0,0,0,0
"690",0,1,0,0,0,0,0
"691",0,1,0,0,0,0,0
"692",0,1,0,0,0,0,0
"693",0,1,0,0,0,0,0
"694",0,1,0,0,0,0,0
"695",0,1,0,0,0,0,0
"696",0,1,0,0,0,0,0
"697",0,1,0,0,0,0,0
"698",0,1,0,0,0,0,0
"699",0,1,0,0,0,0,0
"700",0,1,0,0,0,0,0
"701",0,1,0,0,0,0,0
"702",0,1,0,0,0,0,0
"703",0,1,0,0,0,0,0
"704",0,1,0,0,0,0,0
"705",0,1,0,0,0,0,0
"706",0,1,0,0,0,0,0
"707",0,1,0,0,0,0,0
"708",0,1,0,0,0,0,0
"709",0,1,0,0,0,0,0
"710",0,1,0,0,0,0,0
"711",0,1,0,0,0,0,0
"712",0,1,0,0,0,0,0
"713",0,1,0,0,0,0,0
"714",0,1,0,0,0,0,0
"715",0,1,0,0,0,0,0
"716",0,1,0,0,0,0,0
"717",0,1,0,0,0,0,0
"718",0,1,0,0,0,0,0
"719",0,1,0,0,0,0,0
"720",0,1,0,0,0,0,0
"721",0,1,0,0,0,0,0
"722",0,1,0,0,0,0,0
"723",0,1,0,0,0,0,0
"724",0,1,0,0,0,0,0
"725",0,1,0,0,0,0,0
"726",0,1,0,0,0,0,0
"727",0,1,0,0,0,0,0
"728",0,1,0,0,0,0,0
"729",0,1,0,0,0,0,0
"730",0,1,0,0,0,0,0
"731",0,1,0,0,0,0,0
"732",0,1,0,0,0,0,0
"733",0,1,0,0,0,0,0
"734",0,1,0,0,0,0,0
"735",0,1,0,0,0,0,0
"736",0,1,0,0,0,0,0
"737",0,1,0,0,0,0,0
"738",0,1,0,0,0,0,0
"739",0,1,0,0,0,0,0
"740",0,1,0,0,0,0,0
"741",0,1,0,0,0,0,0
"742",0,1,0,0,0,0,0
